suite,method,bounded,lr,count,dice,condition,min_singular_value,max_singular_value,nonpositive_determinants,extreme_scale_runs,dice_change_from_rigid,dice_worse_than_rigid,seconds,loss_value,tre_mean_mm,tre_median_mm,tre_worse_than_rigid,tre_max_mm
abdomens_masked,matrix,True,0.1,8,0.5010195619003528,1.3844566941261292,0.7499995827674866,1.3333334922790527,0,0,-0.12044922687208359,3,2.415282355825184,-3.2757730185985565,,,,
abdomens_masked,polar,True,0.1,8,0.5988735723705216,1.2206910103559494,0.7500013113021851,1.3122490644454956,0,0,-0.022595216401914683,3,3.048472356487764,-2.724518373608589,,,,
abdomens_native,identity,False,0.0,8,0.373178873087302,1.0,1.0,1.0,0,0,-0.2303947859764207,7,,,,,,
abdomens_native,rigid,False,0.0,8,0.6035736590637227,1.0,1.0,1.0,0,0,0.0,0,7.813172160123941,,,,,
abdomens_native,matrix,True,0.003,8,0.7691574523313245,1.2083563208580017,0.7499997019767761,1.3135119676589966,0,0,0.16558379326760175,0,7.554563202196732,-1.7943743467330933,,,,
abdomens_native,polar,True,0.003,8,0.769457735442363,1.2084813117980957,0.750001072883606,1.3134400844573975,0,0,0.16588407637864022,0,8.186882057227194,-1.7962696850299835,,,,
brain_legacy_reproduction,identity,False,0.0,1,0.8624347224479759,1.0,1.0,1.0,0,0,-0.05271239429620744,1,,,,,,
brain_legacy_reproduction,rigid,False,0.0,1,0.9151471167441834,1.0,1.0,1.0,0,0,0.0,0,3.7425676740240306,,,,,
brain_legacy_reproduction,matrix,False,0.01,1,0.3260490814221689,3.1256251335144043,0.10332699120044708,0.3229614496231079,0,1,-0.5890980353220145,1,2.635023184120655,-0.943777859210968,,,,
brain_legacy_reproduction,polar,False,0.01,1,0.35523619255615974,1.573528528213501,0.3937598466873169,0.6195923686027527,0,1,-0.5599109241880236,1,3.3107187529094517,-0.7283148169517517,,,,
brain_legacy_reproduction,matrix_legacy,False,0.01,1,0.31587636442451045,15.598870277404785,0.010891086421906948,0.16988864541053772,0,1,-0.599270752319673,1,2.585909873014316,-0.9822177886962891,,,,
brains_masked,identity,False,0.0,3,0.8964346663124964,1.0,1.0,1.0,0,0,-0.04962447386818095,2,,,10.738232747716495,10.852051503061638,1,19.006610177156197
brains_masked,rigid,False,0.0,3,0.9460591401806773,1.0,1.0,1.0,0,0,0.0,0,1.5745926663124312,,5.500388814030213,2.870623938189067,0,8.142443007854508
brains_masked,matrix,False,0.001,3,0.9611455338308613,1.0969349145889282,0.9613144993782043,1.154313087463379,0,0,0.015086393650184124,0,0.9668896147826066,-0.5631675124168396,5.2176927073389345,2.8926030663481512,0,7.7087216477059615
brains_masked,polar,False,0.001,3,0.9611648211273932,1.0966089169184368,0.9613488912582397,1.1535218954086304,0,0,0.015105680946715938,0,1.480357012245804,-0.5631674031416575,5.217323677373294,2.8918140850562164,0,7.70964057969724
brains_masked,matrix,False,0.003,3,0.9611339932882389,1.0971074899037678,0.9613251090049744,1.1542060375213623,0,0,0.015074853107561589,0,1.0206247019426276,-0.563177744547526,5.217534186589678,2.891918450990146,0,7.709044763539105
brains_masked,polar,False,0.003,3,0.9611495437926564,1.0968821446100872,0.9612969756126404,1.1539769172668457,0,0,0.015090403611978997,0,1.4715863782912493,-0.5631671746571859,5.217836029742293,2.8924885576923813,0,7.709213786064545
brains_masked,matrix,False,0.01,3,0.9611119221351953,1.0973978439966838,0.9612815380096436,1.1551560163497925,0,0,0.015052781954517943,0,0.9543018246379992,-0.56317338347435,5.217052351622249,2.891564121831279,0,7.709580779748068
brains_masked,polar,False,0.01,3,0.9610476668848865,1.0975478092829387,0.9612614512443542,1.154058575630188,0,0,0.014988526704209248,0,1.4877551433940728,-0.5631642242272695,5.216758139152043,2.8909456659949346,0,7.710200204829332
