source,suite,method,lr,count,errors,tre_mean_mm,tre_median_mm,min_singular_value,max_singular_value,nonpositive_determinants,tre_mean_mm_improved_over_rigid,tre_mean_mm_worst_signed_change,seconds,loss_value,mean_evaluations,restored_levels,dice,dice_improved_over_rigid,dice_worst_signed_change
synthetic_niftyreg_cpu,synthetic_2d,niftyreg,,8,0,0.39231161614746124,0.37673357589871354,0.8302802883149624,1.2104777846377344,0,8,0.7795721320567509,0.12535196714452468,,,,,,
synthetic_niftyreg_cpu,synthetic_3d,rigid,,8,0,3.8419397192306093,3.5726686081059618,0.9999999638298569,1.000000037074995,0,0,-0.0,,,,,,,
synthetic_niftyreg_cpu,synthetic_3d,niftyreg,,8,0,0.5003369022582842,0.46709695876481677,0.7854734880905491,1.277586738768241,0,8,1.8935286983280806,3.7724609185243025,,,,,,
synthetic_niftyreg_cuda,synthetic_2d,rigid,,8,0,3.1653362728585335,3.0033641908562547,0.9999999874259887,1.0000000283975423,0,0,-0.0,,,,,,,
synthetic_niftyreg_cuda,synthetic_2d,niftyreg,,8,0,0.3917543600533618,0.37620367500838814,0.8302802883149624,1.2104403296773432,0,8,0.7795721320567509,0.5632314293761738,,,,,,
synthetic_niftyreg_cuda,synthetic_3d,rigid,,8,0,3.8419397192306093,3.5726686081059618,0.9999999638298569,1.000000037074995,0,0,-0.0,,,,,,,
synthetic_niftyreg_cuda,synthetic_3d,niftyreg,,8,0,0.5001657822660227,0.4667787189406276,0.7854734880905491,1.277584668771451,0,8,1.8933379270191928,0.6805681045516394,,,,,,
brains_niftyreg_cpu,brains_niftyreg_cpu,rigid,,3,0,5.529522062002478,2.9623733571075075,0.9999999753544928,1.0000000156516955,0,0,-0.0,,,,,0.9475175861743285,0,0.0
brains_niftyreg_cpu,brains_niftyreg_cpu,niftyreg,,3,0,5.403276071781313,2.839537533944515,0.9649303090576232,1.1411999026023294,0,2,0.06573463662452772,45.087755309262626,,,,0.9606491788807715,3,0.004172718696277333
brains_niftyreg_cuda,brains_niftyreg_cuda,rigid,,3,0,5.529522062002478,2.9623733571075075,0.9999999753544928,1.0000000156516955,0,0,-0.0,,,,,0.9475175861743285,0,0.0
brains_niftyreg_cuda,brains_niftyreg_cuda,niftyreg,,3,0,5.35695264387787,2.904560048728959,0.9625557758095828,1.1409039123710603,0,2,0.06500188112718419,2.521868562713886,,,,0.96116190490534,3,0.004734573706955625
abdomens_niftyreg_cpu,abdomens_niftyreg_cpu,rigid,,8,0,,,0.9999999718286163,1.0000000295335134,0,,,,,,,0.6035736590637227,0,0.0
abdomens_niftyreg_cpu,abdomens_niftyreg_cpu,niftyreg,,8,0,,,0.769570569916438,1.3193706279934214,0,,,48.66355992181343,,,,0.7697697039869383,8,0.05896829516397639
abdomens_niftyreg_cuda,abdomens_niftyreg_cuda,rigid,,8,0,,,0.9999999718286163,1.0000000295335134,0,,,,,,,0.6035736590637227,0,0.0
abdomens_niftyreg_cuda,abdomens_niftyreg_cuda,niftyreg,,8,0,,,0.7599095002466818,1.3223366555534202,0,,,1.9025048792536836,,,,0.7692793034460523,8,0.05557297798709848
abdomen_repeat_niftyreg_cuda,abdomen_repeat_niftyreg_cuda,rigid,,1,0,,,0.9999999959842151,1.0000000216996943,0,,,,,,,0.4920898202947634,0,0.0
abdomen_repeat_niftyreg_cuda,abdomen_repeat_niftyreg_cuda,niftyreg,,1,0,,,1.0275016844764198,1.1581444835740156,0,,,1.7274346170015633,,,,0.6696112387685771,1,0.1775214184738137
